# Coset-2 exclusion certificates for [4,16] on M_1(8,4)
# (Claude prod session 2026-07-18, target #3; notes/claude_prod_03_416.md)
#
# Background: any exponent-16 point on the (R,w) chart requires (2-descent,
# machine-checked identities; see notes) EITHER
#   coset 1:  -2R(R^2-1)(w^2-1) in Q^2   (the "conic" stratum, rationally
#             parameterized w=(m^2+K)/(m^2-K), K=-2R(R^2-1)), OR
#   coset 2:  2R(R^2-1)(w^2-1)w in +-Q^2, i.e. (w,Y) rational non-boundary on
#             E2_R: Y^2 = c w(w^2-1), c = 2ab(a^2-b^2), R=a/b
#             (Weierstrass X^3 - c^2 X; +- folded by w -> -w).
#   (Coset structure verified: 4*P_R = s_A on the family (Magma, 3 fibers),
#    so the quarter-twist coset is the H_x-half, as used.)
# For each fiber below, ellrank on E2_R gives UNCONDITIONAL rank upper bound 0
# (r2 = Selmer-torsion-Cassels) and torsion (Z/2)^2 whose w-images {0,+-1} are
# all boundary: the coset-2 stratum is EMPTY on the fiber.  Any [4,16] over
# these R (and mirrors 1/R) must satisfy the coset-1 conic; the complete
# conic-stratum octic sweep (m-height 2000, effective w-height ~1e6*|K|)
# found no live candidate on any fiber of height <= 100.
# format: a b  c=core-parameter rk=[lower,upper] tor=#torsion
32 49  c=-17 rk=[0,0] tor=4
33 49  c=-1353 rk=[0,0] tor=4
36 49  c=-2210 rk=[0,0] tor=4
45 49  c=-235 rk=[0,0] tor=4
47 49  c=-282 rk=[0,0] tor=4
-49 50  c=11 rk=[0,0] tor=4
-43 50  c=27993 rk=[0,0] tor=4
-41 50  c=3731 rk=[0,0] tor=4
-27 50  c=5313 rk=[0,0] tor=4
-19 50  c=40641 rk=[0,0] tor=4
-11 50  c=26169 rk=[0,0] tor=4
-1 50  c=51 rk=[0,0] tor=4
1 50  c=-51 rk=[0,0] tor=4
11 50  c=-26169 rk=[0,0] tor=4
19 50  c=-40641 rk=[0,0] tor=4
27 50  c=-5313 rk=[0,0] tor=4
41 50  c=-3731 rk=[0,0] tor=4
43 50  c=-27993 rk=[0,0] tor=4
49 50  c=-11 rk=[0,0] tor=4
-49 51  c=51 rk=[0,0] tor=4
-41 51  c=240465 rk=[0,0] tor=4
-29 51  c=81345 rk=[0,0] tor=4
-28 51  c=1297338 rk=[0,0] tor=4
-8 51  c=129387 rk=[0,0] tor=4
-7 51  c=113883 rk=[0,0] tor=4
7 51  c=-113883 rk=[0,0] tor=4
8 51  c=-129387 rk=[0,0] tor=4
28 51  c=-1297338 rk=[0,0] tor=4
29 51  c=-81345 rk=[0,0] tor=4
41 51  c=-240465 rk=[0,0] tor=4
49 51  c=-51 rk=[0,0] tor=4
-51 52  c=136578 rk=[0,0] tor=4
-27 52  c=6162 rk=[0,0] tor=4
-19 52  c=1157442 rk=[0,0] tor=4
-15 52  c=966810 rk=[0,0] tor=4
-11 52  c=82082 rk=[0,0] tor=4
11 52  c=-82082 rk=[0,0] tor=4
15 52  c=-966810 rk=[0,0] tor=4
19 52  c=-1157442 rk=[0,0] tor=4
27 52  c=-6162 rk=[0,0] tor=4
51 52  c=-136578 rk=[0,0] tor=4
-50 53  c=16377 rk=[0,0] tor=4
-45 53  c=530 rk=[0,0] tor=4
-43 53  c=68370 rk=[0,0] tor=4
-41 53  c=306393 rk=[0,0] tor=4
-39 53  c=332787 rk=[0,0] tor=4
-36 53  c=160378 rk=[0,0] tor=4
-35 53  c=40810 rk=[0,0] tor=4
-34 53  c=1489353 rk=[0,0] tor=4
-22 53  c=54219 rk=[0,0] tor=4
-21 53  c=82362 rk=[0,0] tor=4
-20 53  c=1276770 rk=[0,0] tor=4
-18 53  c=131705 rk=[0,0] tor=4
-15 53  c=256785 rk=[0,0] tor=4
-11 53  c=12243 rk=[0,0] tor=4
-9 53  c=18073 rk=[0,0] tor=4
-7 53  c=127995 rk=[0,0] tor=4
-6 53  c=440907 rk=[0,0] tor=4
-4 53  c=6042 rk=[0,0] tor=4
-3 53  c=2226 rk=[0,0] tor=4
-2 53  c=148665 rk=[0,0] tor=4
-1 53  c=2067 rk=[0,0] tor=4
1 53  c=-2067 rk=[0,0] tor=4
2 53  c=-148665 rk=[0,0] tor=4
3 53  c=-2226 rk=[0,0] tor=4
4 53  c=-6042 rk=[0,0] tor=4
6 53  c=-440907 rk=[0,0] tor=4
7 53  c=-127995 rk=[0,0] tor=4
9 53  c=-18073 rk=[0,0] tor=4
11 53  c=-12243 rk=[0,0] tor=4
15 53  c=-256785 rk=[0,0] tor=4
18 53  c=-131705 rk=[0,0] tor=4
20 53  c=-1276770 rk=[0,0] tor=4
21 53  c=-82362 rk=[0,0] tor=4
22 53  c=-54219 rk=[0,0] tor=4
34 53  c=-1489353 rk=[0,0] tor=4
35 53  c=-40810 rk=[0,0] tor=4
36 53  c=-160378 rk=[0,0] tor=4
39 53  c=-332787 rk=[0,0] tor=4
41 53  c=-306393 rk=[0,0] tor=4
43 53  c=-68370 rk=[0,0] tor=4
45 53  c=-530 rk=[0,0] tor=4
50 53  c=-16377 rk=[0,0] tor=4
-49 54  c=1545 rk=[0,0] tor=4
-41 54  c=151905 rk=[0,0] tor=4
-35 54  c=177555 rk=[0,0] tor=4
-25 54  c=6873 rk=[0,0] tor=4
-17 54  c=133977 rk=[0,0] tor=4
-11 54  c=92235 rk=[0,0] tor=4
-1 54  c=8745 rk=[0,0] tor=4
1 54  c=-8745 rk=[0,0] tor=4
11 54  c=-92235 rk=[0,0] tor=4
17 54  c=-133977 rk=[0,0] tor=4
25 54  c=-6873 rk=[0,0] tor=4
35 54  c=-177555 rk=[0,0] tor=4
41 54  c=-151905 rk=[0,0] tor=4
49 54  c=-1545 rk=[0,0] tor=4
-53 55  c=8745 rk=[0,0] tor=4
-51 55  c=148665 rk=[0,0] tor=4
-48 55  c=237930 rk=[0,0] tor=4
-34 55  c=1747515 rk=[0,0] tor=4
-31 55  c=439890 rk=[0,0] tor=4
-19 55  c=38665 rk=[0,0] tor=4
-18 55  c=148555 rk=[0,0] tor=4
-17 55  c=35530 rk=[0,0] tor=4
-12 55  c=950730 rk=[0,0] tor=4
-9 55  c=1265 rk=[0,0] tor=4
-6 55  c=10065 rk=[0,0] tor=4
-2 55  c=166155 rk=[0,0] tor=4
2 55  c=-166155 rk=[0,0] tor=4
6 55  c=-10065 rk=[0,0] tor=4
9 55  c=-1265 rk=[0,0] tor=4
12 55  c=-950730 rk=[0,0] tor=4
17 55  c=-35530 rk=[0,0] tor=4
18 55  c=-148555 rk=[0,0] tor=4
19 55  c=-38665 rk=[0,0] tor=4
31 55  c=-439890 rk=[0,0] tor=4
34 55  c=-1747515 rk=[0,0] tor=4
48 55  c=-237930 rk=[0,0] tor=4
51 55  c=-148665 rk=[0,0] tor=4
53 55  c=-8745 rk=[0,0] tor=4
-33 56  c=472857 rk=[0,0] tor=4
-27 56  c=50547 rk=[0,0] tor=4
-25 56  c=217 rk=[0,0] tor=4
-17 56  c=338793 rk=[0,0] tor=4
17 56  c=-338793 rk=[0,0] tor=4
25 56  c=-217 rk=[0,0] tor=4
27 56  c=-50547 rk=[0,0] tor=4
33 56  c=-472857 rk=[0,0] tor=4
-53 57  c=166155 rk=[0,0] tor=4
-52 57  c=807690 rk=[0,0] tor=4
-49 57  c=6042 rk=[0,0] tor=4
-46 57  c=1485363 rk=[0,0] tor=4
-31 57  c=505362 rk=[0,0] tor=4
-29 57  c=497553 rk=[0,0] tor=4
-26 57  c=1906593 rk=[0,0] tor=4
-20 57  c=1623930 rk=[0,0] tor=4
-17 57  c=358530 rk=[0,0] tor=4
-14 57  c=1218147 rk=[0,0] tor=4
-4 57  c=368562 rk=[0,0] tor=4
4 57  c=-368562 rk=[0,0] tor=4
14 57  c=-1218147 rk=[0,0] tor=4
17 57  c=-358530 rk=[0,0] tor=4
20 57  c=-1623930 rk=[0,0] tor=4
26 57  c=-1906593 rk=[0,0] tor=4
29 57  c=-497553 rk=[0,0] tor=4
31 57  c=-505362 rk=[0,0] tor=4
46 57  c=-1485363 rk=[0,0] tor=4
49 57  c=-6042 rk=[0,0] tor=4
52 57  c=-807690 rk=[0,0] tor=4
53 57  c=-166155 rk=[0,0] tor=4
-55 58  c=540705 rk=[0,0] tor=4
-53 58  c=853035 rk=[0,0] tor=4
-47 58  c=1574265 rk=[0,0] tor=4
-39 58  c=2084433 rk=[0,0] tor=4
-37 58  c=2140635 rk=[0,0] tor=4
-31 58  c=240033 rk=[0,0] tor=4
-23 58  c=23345 rk=[0,0] tor=4
-21 58  c=1780107 rk=[0,0] tor=4
-15 58  c=1365465 rk=[0,0] tor=4
-5 58  c=53795 rk=[0,0] tor=4
5 58  c=-53795 rk=[0,0] tor=4
15 58  c=-1365465 rk=[0,0] tor=4
21 58  c=-1780107 rk=[0,0] tor=4
23 58  c=-23345 rk=[0,0] tor=4
31 58  c=-240033 rk=[0,0] tor=4
37 58  c=-2140635 rk=[0,0] tor=4
39 58  c=-2084433 rk=[0,0] tor=4
47 58  c=-1574265 rk=[0,0] tor=4
53 58  c=-853035 rk=[0,0] tor=4
55 58  c=-540705 rk=[0,0] tor=4
-58 59  c=22243 rk=[0,0] tor=4
-47 59  c=440907 rk=[0,0] tor=4
-46 59  c=1852305 rk=[0,0] tor=4
-44 59  c=2005410 rk=[0,0] tor=4
-43 59  c=129387 rk=[0,0] tor=4
-42 59  c=2127363 rk=[0,0] tor=4
-39 59  c=11505 rk=[0,0] tor=4
-35 59  c=582330 rk=[0,0] tor=4
-33 59  c=582153 rk=[0,0] tor=4
-30 59  c=2284185 rk=[0,0] tor=4
-28 59  c=2227722 rk=[0,0] tor=4
-26 59  c=2151435 rk=[0,0] tor=4
-12 59  c=1181298 rk=[0,0] tor=4
-11 59  c=68145 rk=[0,0] tor=4
-8 59  c=201603 rk=[0,0] tor=4
-3 59  c=76818 rk=[0,0] tor=4
-1 59  c=25665 rk=[0,0] tor=4
1 59  c=-25665 rk=[0,0] tor=4
3 59  c=-76818 rk=[0,0] tor=4
8 59  c=-201603 rk=[0,0] tor=4
11 59  c=-68145 rk=[0,0] tor=4
12 59  c=-1181298 rk=[0,0] tor=4
26 59  c=-2151435 rk=[0,0] tor=4
28 59  c=-2227722 rk=[0,0] tor=4
30 59  c=-2284185 rk=[0,0] tor=4
33 59  c=-582153 rk=[0,0] tor=4
35 59  c=-582330 rk=[0,0] tor=4
39 59  c=-11505 rk=[0,0] tor=4
42 59  c=-2127363 rk=[0,0] tor=4
43 59  c=-129387 rk=[0,0] tor=4
44 59  c=-2005410 rk=[0,0] tor=4
46 59  c=-1852305 rk=[0,0] tor=4
47 59  c=-440907 rk=[0,0] tor=4
58 59  c=-22243 rk=[0,0] tor=4
-29 60  c=2400330 rk=[0,0] tor=4
-17 60  c=1688610 rk=[0,0] tor=4
17 60  c=-1688610 rk=[0,0] tor=4
29 60  c=-2400330 rk=[0,0] tor=4
-56 61  c=27755 rk=[0,0] tor=4
-54 61  c=147315 rk=[0,0] tor=4
-53 61  c=368562 rk=[0,0] tor=4
-50 61  c=74481 rk=[0,0] tor=4
-49 61  c=10065 rk=[0,0] tor=4
-40 61  c=646905 rk=[0,0] tor=4
-39 61  c=26169 rk=[0,0] tor=4
-38 61  c=293227 rk=[0,0] tor=4
-34 61  c=295545 rk=[0,0] tor=4
-31 61  c=652395 rk=[0,0] tor=4
-29 61  c=17690 rk=[0,0] tor=4
-27 61  c=68442 rk=[0,0] tor=4
-22 61  c=2172027 rk=[0,0] tor=4
-21 61  c=525210 rk=[0,0] tor=4
-20 61  c=25010 rk=[0,0] tor=4
-18 61  c=207217 rk=[0,0] tor=4
-16 61  c=46970 rk=[0,0] tor=4
-9 61  c=27755 rk=[0,0] tor=4
-6 61  c=674355 rk=[0,0] tor=4
-3 61  c=5307 rk=[0,0] tor=4
-2 61  c=25193 rk=[0,0] tor=4
2 61  c=-25193 rk=[0,0] tor=4
3 61  c=-5307 rk=[0,0] tor=4
6 61  c=-674355 rk=[0,0] tor=4
9 61  c=-27755 rk=[0,0] tor=4
16 61  c=-46970 rk=[0,0] tor=4
18 61  c=-207217 rk=[0,0] tor=4
20 61  c=-25010 rk=[0,0] tor=4
21 61  c=-525210 rk=[0,0] tor=4
22 61  c=-2172027 rk=[0,0] tor=4
27 61  c=-68442 rk=[0,0] tor=4
29 61  c=-17690 rk=[0,0] tor=4
31 61  c=-652395 rk=[0,0] tor=4
34 61  c=-295545 rk=[0,0] tor=4
38 61  c=-293227 rk=[0,0] tor=4
39 61  c=-26169 rk=[0,0] tor=4
40 61  c=-646905 rk=[0,0] tor=4
49 61  c=-10065 rk=[0,0] tor=4
50 61  c=-74481 rk=[0,0] tor=4
53 61  c=-368562 rk=[0,0] tor=4
54 61  c=-147315 rk=[0,0] tor=4
56 61  c=-27755 rk=[0,0] tor=4
-61 62  c=232593 rk=[0,0] tor=4
-55 62  c=155155 rk=[0,0] tor=4
-53 62  c=188945 rk=[0,0] tor=4
-47 62  c=2382195 rk=[0,0] tor=4
-45 62  c=281945 rk=[0,0] tor=4
-39 62  c=2808507 rk=[0,0] tor=4
-37 62  c=12617 rk=[0,0] tor=4
-29 62  c=2699697 rk=[0,0] tor=4
-23 62  c=2363595 rk=[0,0] tor=4
-21 62  c=2215353 rk=[0,0] tor=4
-13 62  c=1209 rk=[0,0] tor=4
-5 62  c=591945 rk=[0,0] tor=4
5 62  c=-591945 rk=[0,0] tor=4
13 62  c=-1209 rk=[0,0] tor=4
21 62  c=-2215353 rk=[0,0] tor=4
23 62  c=-2363595 rk=[0,0] tor=4
29 62  c=-2699697 rk=[0,0] tor=4
37 62  c=-12617 rk=[0,0] tor=4
39 62  c=-2808507 rk=[0,0] tor=4
45 62  c=-281945 rk=[0,0] tor=4
47 62  c=-2382195 rk=[0,0] tor=4
53 62  c=-188945 rk=[0,0] tor=4
55 62  c=-155155 rk=[0,0] tor=4
61 62  c=-232593 rk=[0,0] tor=4
-59 63  c=25193 rk=[0,0] tor=4
-53 63  c=53795 rk=[0,0] tor=4
-50 63  c=10283 rk=[0,0] tor=4
-44 63  c=313082 rk=[0,0] tor=4
-41 63  c=82082 rk=[0,0] tor=4
-38 63  c=13433 rk=[0,0] tor=4
-22 63  c=268345 rk=[0,0] tor=4
-13 63  c=1729 rk=[0,0] tor=4
-2 63  c=27755 rk=[0,0] tor=4
-1 63  c=217 rk=[0,0] tor=4
1 63  c=-217 rk=[0,0] tor=4
2 63  c=-27755 rk=[0,0] tor=4
13 63  c=-1729 rk=[0,0] tor=4
22 63  c=-268345 rk=[0,0] tor=4
38 63  c=-13433 rk=[0,0] tor=4
41 63  c=-82082 rk=[0,0] tor=4
44 63  c=-313082 rk=[0,0] tor=4
50 63  c=-10283 rk=[0,0] tor=4
53 63  c=-53795 rk=[0,0] tor=4
59 63  c=-25193 rk=[0,0] tor=4
-63 64  c=1778 rk=[0,0] tor=4
-55 64  c=13090 rk=[0,0] tor=4
-51 64  c=152490 rk=[0,0] tor=4
-47 64  c=177378 rk=[0,0] tor=4
-39 64  c=8034 rk=[0,0] tor=4
-31 64  c=194370 rk=[0,0] tor=4
-27 64  c=20202 rk=[0,0] tor=4
-15 64  c=2370 rk=[0,0] tor=4
-11 64  c=3498 rk=[0,0] tor=4
-7 64  c=56658 rk=[0,0] tor=4
7 64  c=-56658 rk=[0,0] tor=4
11 64  c=-3498 rk=[0,0] tor=4
15 64  c=-2370 rk=[0,0] tor=4
27 64  c=-20202 rk=[0,0] tor=4
31 64  c=-194370 rk=[0,0] tor=4
39 64  c=-8034 rk=[0,0] tor=4
47 64  c=-177378 rk=[0,0] tor=4
51 64  c=-152490 rk=[0,0] tor=4
55 64  c=-13090 rk=[0,0] tor=4
63 64  c=-1778 rk=[0,0] tor=4
-64 65  c=16770 rk=[0,0] tor=4
-62 65  c=767715 rk=[0,0] tor=4
-61 65  c=27755 rk=[0,0] tor=4
-43 65  c=92235 rk=[0,0] tor=4
-42 65  c=3359265 rk=[0,0] tor=4
-36 65  c=380770 rk=[0,0] tor=4
-32 65  c=208065 rk=[0,0] tor=4
-29 65  c=88595 rk=[0,0] tor=4
-23 65  c=690690 rk=[0,0] tor=4
-16 65  c=130 rk=[0,0] tor=4
-14 65  c=1833195 rk=[0,0] tor=4
-11 65  c=40755 rk=[0,0] tor=4
-8 65  c=270465 rk=[0,0] tor=4
-4 65  c=547170 rk=[0,0] tor=4
4 65  c=-547170 rk=[0,0] tor=4
8 65  c=-270465 rk=[0,0] tor=4
11 65  c=-40755 rk=[0,0] tor=4
14 65  c=-1833195 rk=[0,0] tor=4
16 65  c=-130 rk=[0,0] tor=4
23 65  c=-690690 rk=[0,0] tor=4
29 65  c=-88595 rk=[0,0] tor=4
32 65  c=-208065 rk=[0,0] tor=4
36 65  c=-380770 rk=[0,0] tor=4
42 65  c=-3359265 rk=[0,0] tor=4
43 65  c=-92235 rk=[0,0] tor=4
61 65  c=-27755 rk=[0,0] tor=4
62 65  c=-767715 rk=[0,0] tor=4
64 65  c=-16770 rk=[0,0] tor=4
-65 66  c=280995 rk=[0,0] tor=4
-59 66  c=68145 rk=[0,0] tor=4
-49 66  c=64515 rk=[0,0] tor=4
-43 66  c=3557433 rk=[0,0] tor=4
-35 66  c=3616305 rk=[0,0] tor=4
-25 66  c=123123 rk=[0,0] tor=4
-19 66  c=2504865 rk=[0,0] tor=4
19 66  c=-2504865 rk=[0,0] tor=4
25 66  c=-123123 rk=[0,0] tor=4
35 66  c=-3616305 rk=[0,0] tor=4
43 66  c=-3557433 rk=[0,0] tor=4
49 66  c=-64515 rk=[0,0] tor=4
59 66  c=-68145 rk=[0,0] tor=4
65 66  c=-280995 rk=[0,0] tor=4
-62 67  c=1339665 rk=[0,0] tor=4
-58 67  c=9715 rk=[0,0] tor=4
-57 67  c=591945 rk=[0,0] tor=4
-55 67  c=674355 rk=[0,0] tor=4
-51 67  c=201603 rk=[0,0] tor=4
-48 67  c=878370 rk=[0,0] tor=4
-46 67  c=3656793 rk=[0,0] tor=4
-44 67  c=3763122 rk=[0,0] tor=4
-43 67  c=950730 rk=[0,0] tor=4
-42 67  c=153363 rk=[0,0] tor=4
-37 67  c=966810 rk=[0,0] tor=4
-28 67  c=3475290 rk=[0,0] tor=4
-26 67  c=3321123 rk=[0,0] tor=4
-25 67  c=32361 rk=[0,0] tor=4
-23 67  c=84755 rk=[0,0] tor=4
-19 67  c=164217 rk=[0,0] tor=4
-15 67  c=535665 rk=[0,0] tor=4
-12 67  c=1746690 rk=[0,0] tor=4
-11 67  c=402402 rk=[0,0] tor=4
-8 67  c=11859 rk=[0,0] tor=4
-5 67  c=20770 rk=[0,0] tor=4
-3 67  c=7035 rk=[0,0] tor=4
3 67  c=-7035 rk=[0,0] tor=4
5 67  c=-20770 rk=[0,0] tor=4
8 67  c=-11859 rk=[0,0] tor=4
11 67  c=-402402 rk=[0,0] tor=4
12 67  c=-1746690 rk=[0,0] tor=4
15 67  c=-535665 rk=[0,0] tor=4
19 67  c=-164217 rk=[0,0] tor=4
23 67  c=-84755 rk=[0,0] tor=4
25 67  c=-32361 rk=[0,0] tor=4
26 67  c=-3321123 rk=[0,0] tor=4
28 67  c=-3475290 rk=[0,0] tor=4
37 67  c=-966810 rk=[0,0] tor=4
42 67  c=-153363 rk=[0,0] tor=4
43 67  c=-950730 rk=[0,0] tor=4
44 67  c=-3763122 rk=[0,0] tor=4
46 67  c=-3656793 rk=[0,0] tor=4
48 67  c=-878370 rk=[0,0] tor=4
51 67  c=-201603 rk=[0,0] tor=4
55 67  c=-674355 rk=[0,0] tor=4
57 67  c=-591945 rk=[0,0] tor=4
58 67  c=-9715 rk=[0,0] tor=4
62 67  c=-1339665 rk=[0,0] tor=4
-67 68  c=34170 rk=[0,0] tor=4
-63 68  c=155890 rk=[0,0] tor=4
-47 68  c=3859170 rk=[0,0] tor=4
-43 68  c=162282 rk=[0,0] tor=4
-39 68  c=4114578 rk=[0,0] tor=4
-35 68  c=4044810 rk=[0,0] tor=4
-31 68  c=428978 rk=[0,0] tor=4
-27 68  c=397290 rk=[0,0] tor=4
-19 68  c=56202 rk=[0,0] tor=4
-11 68  c=1684122 rk=[0,0] tor=4
-3 68  c=470730 rk=[0,0] tor=4
3 68  c=-470730 rk=[0,0] tor=4
11 68  c=-1684122 rk=[0,0] tor=4
19 68  c=-56202 rk=[0,0] tor=4
27 68  c=-397290 rk=[0,0] tor=4
31 68  c=-428978 rk=[0,0] tor=4
35 68  c=-4044810 rk=[0,0] tor=4
39 68  c=-4114578 rk=[0,0] tor=4
43 68  c=-162282 rk=[0,0] tor=4
47 68  c=-3859170 rk=[0,0] tor=4
63 68  c=-155890 rk=[0,0] tor=4
67 68  c=-34170 rk=[0,0] tor=4
-64 69  c=91770 rk=[0,0] tor=4
-61 69  c=547170 rk=[0,0] tor=4
-56 69  c=31395 rk=[0,0] tor=4
-52 69  c=30498 rk=[0,0] tor=4
-50 69  c=156009 rk=[0,0] tor=4
-40 69  c=1090545 rk=[0,0] tor=4
-38 69  c=4348587 rk=[0,0] tor=4
-34 69  c=4228665 rk=[0,0] tor=4
-31 69  c=40641 rk=[0,0] tor=4
-29 69  c=20010 rk=[0,0] tor=4
-25 69  c=35673 rk=[0,0] tor=4
-22 69  c=3246243 rk=[0,0] tor=4
-20 69  c=61410 rk=[0,0] tor=4
-19 69  c=28842 rk=[0,0] tor=4
-16 69  c=621690 rk=[0,0] tor=4
-4 69  c=654810 rk=[0,0] tor=4
4 69  c=-654810 rk=[0,0] tor=4
16 69  c=-621690 rk=[0,0] tor=4
19 69  c=-28842 rk=[0,0] tor=4
20 69  c=-61410 rk=[0,0] tor=4
22 69  c=-3246243 rk=[0,0] tor=4
25 69  c=-35673 rk=[0,0] tor=4
29 69  c=-20010 rk=[0,0] tor=4
31 69  c=-40641 rk=[0,0] tor=4
34 69  c=-4228665 rk=[0,0] tor=4
38 69  c=-4348587 rk=[0,0] tor=4
40 69  c=-1090545 rk=[0,0] tor=4
50 69  c=-156009 rk=[0,0] tor=4
52 69  c=-30498 rk=[0,0] tor=4
56 69  c=-31395 rk=[0,0] tor=4
61 69  c=-547170 rk=[0,0] tor=4
64 69  c=-91770 rk=[0,0] tor=4
-67 70  c=963795 rk=[0,0] tor=4
-59 70  c=2930235 rk=[0,0] tor=4
-57 70  c=3293745 rk=[0,0] tor=4
-43 70  c=510195 rk=[0,0] tor=4
-41 70  c=4619265 rk=[0,0] tor=4
-19 70  c=3018435 rk=[0,0] tor=4
-9 70  c=168665 rk=[0,0] tor=4
-3 70  c=513555 rk=[0,0] tor=4
-1 70  c=171465 rk=[0,0] tor=4
1 70  c=-171465 rk=[0,0] tor=4
3 70  c=-513555 rk=[0,0] tor=4
9 70  c=-168665 rk=[0,0] tor=4
19 70  c=-3018435 rk=[0,0] tor=4
41 70  c=-4619265 rk=[0,0] tor=4
43 70  c=-510195 rk=[0,0] tor=4
57 70  c=-3293745 rk=[0,0] tor=4
59 70  c=-2930235 rk=[0,0] tor=4
67 70  c=-963795 rk=[0,0] tor=4
-70 71  c=350385 rk=[0,0] tor=4
-69 71  c=171465 rk=[0,0] tor=4
-66 71  c=1604955 rk=[0,0] tor=4
-65 71  c=470730 rk=[0,0] tor=4
-57 71  c=56658 rk=[0,0] tor=4
-54 71  c=18105 rk=[0,0] tor=4
-50 71  c=1491 rk=[0,0] tor=4
-47 71  c=1181298 rk=[0,0] tor=4
-44 71  c=538890 rk=[0,0] tor=4
-43 71  c=1218147 rk=[0,0] tor=4
-40 71  c=1221555 rk=[0,0] tor=4
-38 71  c=4852353 rk=[0,0] tor=4
-37 71  c=133977 rk=[0,0] tor=4
-35 71  c=131705 rk=[0,0] tor=4
-34 71  c=4689195 rk=[0,0] tor=4
-33 71  c=1157442 rk=[0,0] tor=4
-28 71  c=470162 rk=[0,0] tor=4
-22 71  c=72633 rk=[0,0] tor=4
-18 71  c=334907 rk=[0,0] tor=4
-15 71  c=641130 rk=[0,0] tor=4
-13 71  c=562107 rk=[0,0] tor=4
-12 71  c=2086122 rk=[0,0] tor=4
-11 71  c=480315 rk=[0,0] tor=4
-6 71  c=1066065 rk=[0,0] tor=4
-3 71  c=133977 rk=[0,0] tor=4
-1 71  c=4970 rk=[0,0] tor=4
1 71  c=-4970 rk=[0,0] tor=4
3 71  c=-133977 rk=[0,0] tor=4
6 71  c=-1066065 rk=[0,0] tor=4
11 71  c=-480315 rk=[0,0] tor=4
12 71  c=-2086122 rk=[0,0] tor=4
13 71  c=-562107 rk=[0,0] tor=4
15 71  c=-641130 rk=[0,0] tor=4
18 71  c=-334907 rk=[0,0] tor=4
22 71  c=-72633 rk=[0,0] tor=4
28 71  c=-470162 rk=[0,0] tor=4
33 71  c=-1157442 rk=[0,0] tor=4
34 71  c=-4689195 rk=[0,0] tor=4
35 71  c=-131705 rk=[0,0] tor=4
37 71  c=-133977 rk=[0,0] tor=4
38 71  c=-4852353 rk=[0,0] tor=4
40 71  c=-1221555 rk=[0,0] tor=4
43 71  c=-1218147 rk=[0,0] tor=4
44 71  c=-538890 rk=[0,0] tor=4
47 71  c=-1181298 rk=[0,0] tor=4
50 71  c=-1491 rk=[0,0] tor=4
54 71  c=-18105 rk=[0,0] tor=4
57 71  c=-56658 rk=[0,0] tor=4
65 71  c=-470730 rk=[0,0] tor=4
66 71  c=-1604955 rk=[0,0] tor=4
69 71  c=-171465 rk=[0,0] tor=4
70 71  c=-350385 rk=[0,0] tor=4
-71 72  c=10153 rk=[0,0] tor=4
-61 72  c=89243 rk=[0,0] tor=4
-55 72  c=118745 rk=[0,0] tor=4
-53 72  c=5035 rk=[0,0] tor=4
-37 72  c=141155 rk=[0,0] tor=4
-29 72  c=125947 rk=[0,0] tor=4
-23 72  c=2185 rk=[0,0] tor=4
-13 72  c=65195 rk=[0,0] tor=4
-7 72  c=35945 rk=[0,0] tor=4
7 72  c=-35945 rk=[0,0] tor=4
13 72  c=-65195 rk=[0,0] tor=4
23 72  c=-2185 rk=[0,0] tor=4
29 72  c=-125947 rk=[0,0] tor=4
37 72  c=-141155 rk=[0,0] tor=4
53 72  c=-5035 rk=[0,0] tor=4
55 72  c=-118745 rk=[0,0] tor=4
61 72  c=-89243 rk=[0,0] tor=4
71 72  c=-10153 rk=[0,0] tor=4
-72 73  c=10585 rk=[0,0] tor=4
-68 73  c=1749810 rk=[0,0] tor=4
-67 73  c=513555 rk=[0,0] tor=4
-65 73  c=654810 rk=[0,0] tor=4
-62 73  c=373395 rk=[0,0] tor=4
-58 73  c=4159905 rk=[0,0] tor=4
-57 73  c=270465 rk=[0,0] tor=4
-52 73  c=199290 rk=[0,0] tor=4
-43 73  c=1365465 rk=[0,0] tor=4
-42 73  c=5465145 rk=[0,0] tor=4
-39 73  c=338793 rk=[0,0] tor=4
-37 73  c=148555 rk=[0,0] tor=4
-36 73  c=588818 rk=[0,0] tor=4
-33 73  c=1276770 rk=[0,0] tor=4
-32 73  c=314265 rk=[0,0] tor=4
-30 73  c=4849755 rk=[0,0] tor=4
-24 73  c=21243 rk=[0,0] tor=4
-16 73  c=740658 rk=[0,0] tor=4
-15 73  c=698610 rk=[0,0] tor=4
-14 73  c=2622963 rk=[0,0] tor=4
-11 73  c=522753 rk=[0,0] tor=4
-9 73  c=2993 rk=[0,0] tor=4
-8 73  c=4745 rk=[0,0] tor=4
-5 73  c=241995 rk=[0,0] tor=4
-4 73  c=775698 rk=[0,0] tor=4
-1 73  c=5402 rk=[0,0] tor=4
1 73  c=-5402 rk=[0,0] tor=4
4 73  c=-775698 rk=[0,0] tor=4
5 73  c=-241995 rk=[0,0] tor=4
8 73  c=-4745 rk=[0,0] tor=4
9 73  c=-2993 rk=[0,0] tor=4
11 73  c=-522753 rk=[0,0] tor=4
14 73  c=-2622963 rk=[0,0] tor=4
